Id,Client,Platform,Url,PlatformId,Text,ChannelName,ChannelHandle,PublishedDate,DiscoveredDate,DateLogged,Engagements,DateProcessed,Processed,UserDescription,UserProfileUrl,VisibleUntil,ScannerRelevanceFound,Source,BMProjectId,Language,Sentiment,Views,Likes,Favorites,Comments,Shares,Retweets,Reach,Followers,Following,ExtractLink
2679,W1LLH1LL,TWITTER,https://twitter.com/moneybagtipster/status/1435155123693576194,1435155123693576194,"TODAY'S ACCUMULATOR!

Back it at 11.5/1 👇

Load bet: https://t.co/qstRyQ97Km

Sign up to William Hill and get £30 in FREE BETS here: https://t.co/TReScUGZqF

18+. Gamble responsively https://t.co/1mxyXxxHmw",MoneyBagTipster,MoneyBagTipster,"2021-09-07 08:17:00","2021-09-07 09:49:07","2021-09-07 12:42:14",2,NULL,0,"Tipster with 5+ professional years experience. Gamble at your own risk and only stake what you can afford. 🔞",https://t.co/bZkIwhyins,"2022-01-07 00:00:00",1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2680,W1LLH1LL,TWITTER,https://twitter.com/moneybagtipster/status/1435157344153972737,1435157344153972737,"TODAY'S TREBLE!

Back it at 2.6/1 👇

Load bet: https://t.co/EQccNnHLcU

Sign up to William Hill and get £30 in FREE BETS here: https://t.co/TReScUGZqF

18+. Gamble responsively https://t.co/NPyLtmR4Wn",MoneyBagTipster,MoneyBagTipster,"2021-09-07 08:25:49","2021-09-07 09:49:06","2021-09-07 12:56:07",1,NULL,1,"Tipster with 5+ professional years experience. Gamble at your own risk and only stake what you can afford. 🔞",https://t.co/bZkIwhyins,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2681,W1LLH1LL,TWITTER,https://twitter.com/oddschanger/status/1435127809010282497,1435127809010282497,"TONIGHT’S NETHERLANDS VS. TURKEY #YOURODDS BOOST!!!!

⚡️ BOOSTED to 9/2 (was 16/5)!
📊 BEST PRICE on the market!
📝 EXCLUSIVE to William Hill!

Add this to your bet-slip HERE:
https://t.co/SLGgFuxey0

18+ | T&amp;Cs Apply | https://t.co/7ZhTEgQqYT | Always Gamble Responsibly https://t.co/8FfDfXCvDd",Oddschanger,Oddschanger,"2021-09-07 06:28:27","2021-09-07 09:48:57","2021-09-07 12:56:10",1,NULL,1,"Oddschanger provides the very latest news, views and betting updates across a range of sports. 18+ https://t.co/H0vygPeuPj please gamble responsibly.",https://t.co/V0JgGkmUfj,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2682,W1LLH1LL,TWITTER,https://twitter.com/oddschanger/status/1435129428481347585,1435129428481347585,"All of our #YourOdds Boost’s are exclusive to William Hill! ☑️

1️⃣ Join William Hill via the link provided.
2️⃣ Bet £10 on our #YourOdds Boost.
3️⃣ Receive 4x £10 free bets!

CLAIM HERE:
https://t.co/BQJCRDKnmk

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | https://t.co/7ZhTEgQqYT https://t.co/keYIPyMvFy",Oddschanger,Oddschanger,"2021-09-07 06:34:53","2021-09-07 09:49:00","2021-09-07 12:56:10",0,NULL,1,"Oddschanger provides the very latest news, views and betting updates across a range of sports. 18+ https://t.co/H0vygPeuPj please gamble responsibly.",https://t.co/V0JgGkmUfj,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2683,W1LLH1LL,TWITTER,https://twitter.com/oddschanger/status/1435152859671064576,1435152859671064576,"TONIGHT’S NETHERLANDS VS. TURKEY #YOURODDS BOOST!!!!

⚡️ BOOSTED to 9/2 (was 16/5)!
📊 BEST PRICE on the market!
📝 EXCLUSIVE to William Hill!

Add this to your bet-slip HERE:
https://t.co/SLGgFufD9q

18+ | T&amp;Cs Apply | https://t.co/7ZhTEgyPAj | Always Gamble Responsibly https://t.co/ye9hH3DtyQ",Oddschanger,Oddschanger,"2021-09-07 08:08:00","2021-09-07 09:48:58","2021-09-07 12:56:10",0,NULL,1,"Oddschanger provides the very latest news, views and betting updates across a range of sports. 18+ https://t.co/H0vygPeuPj please gamble responsibly.",https://t.co/V0JgGkmUfj,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2684,W1LLH1LL,TWITTER,https://twitter.com/oddschanger/status/1435154636189618176,1435154636189618176,"All of our #YourOdds Boost’s are exclusive to William Hill! ☑️

1️⃣ Join William Hill via the link provided.
2️⃣ Bet £10 on our #YourOdds Boost.
3️⃣ Receive 4x £10 free bets!

CLAIM HERE:
https://t.co/BQJCRDKnmk

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | https://t.co/7ZhTEgQqYT https://t.co/9sLKRGXn2T",Oddschanger,Oddschanger,"2021-09-07 08:15:03","2021-09-07 09:48:56","2021-09-07 12:56:10",1,NULL,1,"Oddschanger provides the very latest news, views and betting updates across a range of sports. 18+ https://t.co/H0vygPeuPj please gamble responsibly.",https://t.co/V0JgGkmUfj,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2685,W1LLH1LL,TWITTER,https://twitter.com/ggcouk/status/1435173243824979971,1435173243824979971,"🏇 DARYL'S BEST BET 🏇

@DarylCarter7 best bet is a confident selection at Leicester this afternoon 💪

Add to betslip ➡ https://t.co/IxjIWOmaVR

New William Hill customers get £30 in free bets when you bet £10 ➡ https://t.co/IF2Z0Ob7lr 

🔞 T&amp;C's Apply. BeGambleAware #Ad https://t.co/tEvueUnLIa",ggcouk,ggcouk,"2021-09-07 09:29:00","2021-09-07 09:48:53","2021-09-07 12:56:10",3,NULL,1,"The website for people who love horse racing. Cards & Results | Blogs | Alerts | (Followers must be 18+) Responsible Gambling: https://t.co/BsOADKQx4N",https://t.co/ZXtJs9HuDv,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2686,W1LLH1LL,TWITTER,https://twitter.com/bettingoddsuk/status/1435142038224347143,1435142038224347143,"Raheem Sterling has a goal or assist in five of his last eight games for England

With William Hill you can get him at an enhanced 30/1 to score or assist vs Poland on Wednesday... 🦁

New Customer Offer | T&amp;C's Apply | 18+ | BeGambleAware | #AD

#ENG #ThreeLions",BettingOddsUK,BettingOddsUK,"2021-09-07 07:25:00","2021-09-07 09:48:51","2021-09-07 12:59:07",2,NULL,1,"Bettering your sporting experience | 18+ https://t.co/H0vygPeuPj",https://t.co/vnpDPSY63s,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2687,W1LLH1LL,TWITTER,https://twitter.com/twenclosure/status/1435127930431188992,1435127930431188992,"We'll have another jockey boost live soon for today courtesy of William Hill again! ⏫

1️⃣ Join
2️⃣ Bet £10
3️⃣ Get £40 in free bets for todays racing

Claim HERE 👇🏼
https://t.co/fFQMMcqEwh 

#Ad | New Customer Offer | 18+ | T&amp;C’s Apply | https://t.co/8Yo2IZMG5m https://t.co/xKcEed3qwB",TWEnclosure,TWEnclosure,"2021-09-07 06:28:56","2021-09-07 09:48:54","2021-09-07 12:59:07",1,NULL,1,"The Winners Enclosure provides you with daily news, views and recommended bets. 18+ https://t.co/0WiNwt5hky please gamble responsibly.",https://t.co/zTgT8iQRGQ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2688,W1LLH1LL,TWITTER,https://twitter.com/twenclosure/status/1435147988985384960,1435147988985384960,"The jockey boost can only be backed with William Hill! ⏫

1️⃣ Join
2️⃣ Bet £10
3️⃣ Get £40 in free bets for todays racing

Claim HERE 👇🏼
https://t.co/fFQMMcqEwh 

#Ad | New Customer Offer | 18+ | T&amp;C’s Apply | https://t.co/8Yo2IZMG5m https://t.co/aJN5Fw3qHB",TWEnclosure,TWEnclosure,"2021-09-07 07:48:38","2021-09-07 09:48:50","2021-09-07 12:59:08",0,NULL,1,"The Winners Enclosure provides you with daily news, views and recommended bets. 18+ https://t.co/0WiNwt5hky please gamble responsibly.",https://t.co/zTgT8iQRGQ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
